calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 512.672811 1086.005831 1.570569 0.010000 0.000000 0.000000 0.010000 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.005000 512.672811 1086.005831 1.570569 0.010000 0.000000 0.000000 0.010002 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.010000 512.672811 1086.005831 1.570569 0.010000 0.000000 0.000000 0.010005 0.000000 0.000003 0.000000 0.000000 0.000000 0.000000 
1 0.015000 512.672896 1086.381077 1.563869 0.010000 0.000000 -0.000001 0.010007 0.000000 0.000003 0.375246 -0.006701 0.000000 0.000000 
1 0.020000 512.675496 1086.756313 1.570569 0.010002 0.000000 -0.000002 0.010009 0.000000 0.000003 0.375246 0.006701 0.000000 0.000000 
1 0.025000 512.675581 1087.131559 1.563869 0.010004 0.000000 -0.000003 0.010012 0.000000 0.000003 0.375246 -0.006701 0.000000 0.000000 
1 0.030000 512.680780 1087.882033 1.563869 0.010011 -0.000000 -0.000006 0.010014 0.000000 0.000003 0.750492 -0.000000 0.000000 0.000000 
1 0.035000 512.683380 1088.257270 1.570569 0.010015 -0.000000 -0.000007 0.010016 0.000000 0.000003 0.375246 0.006701 0.000000 0.000000 
1 0.040000 512.683550 1089.007761 1.570569 0.010027 -0.000000 -0.000009 0.010018 0.000000 0.000003 0.750492 0.000000 0.000000 0.000000 
1 0.045000 512.683720 1089.758253 1.570569 0.010043 -0.000000 -0.000011 0.010021 0.000000 0.000003 0.750492 0.000000 0.000000 0.000000 
1 0.050000 512.683976 1090.883990 1.563869 0.010073 -0.000000 -0.000015 0.010023 0.000000 0.000003 1.125737 -0.006701 0.000000 0.000000 
1 0.055000 512.689175 1091.634464 1.563869 0.010097 -0.000000 -0.000017 0.010025 0.000000 0.000003 0.750492 0.000000 0.000000 0.000000 
1 0.060000 512.694374 1092.384937 1.563869 0.010124 -0.000000 -0.000019 0.010028 0.000000 0.000003 0.750492 0.000000 0.000000 0.000000 
1 0.065000 512.704772 1093.885884 1.563869 0.010189 -0.000001 -0.000024 0.010030 0.000000 0.000003 1.500983 0.000000 0.000000 0.000000 
1 0.070000 512.715171 1095.386831 1.563869 0.010269 -0.000001 -0.000029 0.010032 0.000000 0.000003 1.500983 0.000000 0.000000 0.000000 
1 0.075000 512.722970 1096.512542 1.557168 0.010337 -0.000002 -0.000032 0.010035 0.000000 0.000003 1.125737 -0.006701 0.000000 0.000000 
