calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 0.175000 607.532537 1458.361145 1.592258 0.019012 -0.000009 -0.000214 0.018088 -0.000006 0.000006 2.626721 0.006701 0.000000 0.000000 
1 0.180000 607.484220 1460.612101 1.592258 0.020005 0.000009 -0.000227 0.018319 -0.000006 0.000006 2.251475 -0.000000 0.000000 0.000000 
1 0.185000 607.427850 1463.238217 1.585557 0.021236 0.000031 -0.000242 0.018551 -0.000006 0.000006 2.626721 -0.006701 0.000000 0.000000 
1 0.190000 607.383540 1466.239856 1.585557 0.022740 0.000057 -0.000259 0.018782 -0.000006 0.000006 3.001966 -0.000000 0.000000 0.000000 
1 0.195000 607.344769 1468.866290 1.592258 0.024142 0.000084 -0.000275 0.019014 -0.000007 0.000006 2.626721 0.006701 0.000000 0.000000 
1 0.200000 607.288399 1471.492406 1.585557 0.025625 0.000109 -0.000290 0.019246 -0.000007 0.000006 2.626721 -0.006701 0.000000 0.000000 
1 0.205000 607.244089 1474.494045 1.585557 0.027420 0.000140 -0.000308 0.019478 -0.000007 0.000006 3.001966 -0.000000 0.000000 0.000000 
1 0.210000 607.199779 1477.495685 1.585557 0.029324 0.000172 -0.000326 0.019709 -0.000007 0.000006 3.001966 0.000000 0.000000 0.000000 
1 0.215000 607.155469 1480.497324 1.585557 0.031339 0.000206 -0.000345 0.019941 -0.000008 0.000006 3.001966 -0.000000 0.000000 0.000000 
1 0.220000 607.111158 1483.498963 1.585557 0.033464 0.000241 -0.000363 0.020173 -0.000008 0.000006 3.001966 0.000000 0.000000 0.000000 
1 0.225000 607.066848 1486.500602 1.585557 0.035702 0.000279 -0.000382 0.020405 -0.000008 0.000006 3.001966 0.000000 0.000000 0.000000 
1 0.230000 607.016999 1489.877447 1.578856 0.038356 0.000316 -0.000404 0.020636 -0.000008 0.000006 3.377212 -0.006701 0.000000 0.000000 
